complaint_id,title,category,priority,status,agent,created_at,resolved_at,resolution_hours,sla_limit_hours,sla_breached
1,Complaint #1 - Technical Issue,Technical,low,pending,Carol White,2024-05-05 07:00:00,,,72,True
2,Complaint #2 - Delivery Issue,Delivery,low,pending,Frank Miller,2025-04-01 17:00:00,,,72,True
3,Complaint #3 - Technical Issue,Technical,critical,open,Alice Johnson,2024-02-17 06:00:00,,,8,True
4,Complaint #4 - Product Quality Issue,Product Quality,low,escalated,Bob Smith,2025-01-01 20:00:00,,,72,True
5,Complaint #5 - Refund Issue,Refund,medium,closed,Eve Davis,2024-05-22 00:00:00,2024-05-22 21:00:00,21,48,False
6,Complaint #6 - Refund Issue,Refund,high,resolved,Bob Smith,2024-04-20 10:00:00,2024-04-20 17:00:00,7,24,False
7,Complaint #7 - Technical Issue,Technical,critical,open,Carol White,2025-03-09 11:00:00,,,8,True
8,Complaint #8 - Customer Service Issue,Customer Service,low,pending,David Brown,2024-10-01 03:00:00,,,72,True
9,Complaint #9 - Refund Issue,Refund,low,escalated,Carol White,2025-02-28 20:00:00,,,72,True
10,Complaint #10 - Account Issue,Account,medium,pending,Alice Johnson,2024-01-24 21:00:00,,,48,True
11,Complaint #11 - Product Quality Issue,Product Quality,high,open,Bob Smith,2025-03-19 03:00:00,,,24,True
12,Complaint #12 - Refund Issue,Refund,high,closed,Frank Miller,2025-03-03 11:00:00,2025-03-03 22:00:00,11,24,False
13,Complaint #13 - Account Issue,Account,high,in_progress,Frank Miller,2024-05-16 22:00:00,,,24,True
14,Complaint #14 - Technical Issue,Technical,medium,escalated,Frank Miller,2024-05-05 05:00:00,,,48,True
15,Complaint #15 - Installation Issue,Installation,critical,resolved,Frank Miller,2024-12-18 17:00:00,2024-12-19 01:00:00,8,8,False
16,Complaint #16 - Account Issue,Account,low,in_progress,Alice Johnson,2025-02-16 10:00:00,,,72,True
17,Complaint #17 - Refund Issue,Refund,high,open,Bob Smith,2025-04-12 18:00:00,,,24,True
18,Complaint #18 - Account Issue,Account,medium,pending,David Brown,2024-07-21 20:00:00,,,48,True
19,Complaint #19 - Installation Issue,Installation,medium,resolved,Bob Smith,2024-05-06 23:00:00,2024-05-09 23:00:00,72,48,True
20,Complaint #20 - Customer Service Issue,Customer Service,critical,escalated,David Brown,2024-07-04 07:00:00,,,8,True
21,Complaint #21 - Delivery Issue,Delivery,critical,open,Alice Johnson,2025-03-16 03:00:00,,,8,True
22,Complaint #22 - Delivery Issue,Delivery,medium,pending,David Brown,2024-11-01 02:00:00,,,48,True
23,Complaint #23 - Refund Issue,Refund,critical,escalated,David Brown,2024-09-27 08:00:00,,,8,True
24,Complaint #24 - Billing Issue,Billing,low,pending,Eve Davis,2025-01-19 08:00:00,,,72,True
25,Complaint #25 - Account Issue,Account,low,resolved,David Brown,2024-03-21 14:00:00,2024-03-21 15:00:00,1,72,False
26,Complaint #26 - Customer Service Issue,Customer Service,medium,escalated,Alice Johnson,2025-03-21 20:00:00,,,48,True
27,Complaint #27 - Customer Service Issue,Customer Service,medium,in_progress,Carol White,2025-01-25 05:00:00,,,48,True
28,Complaint #28 - Billing Issue,Billing,high,closed,Alice Johnson,2024-02-27 11:00:00,2024-02-28 07:00:00,20,24,False
29,Complaint #29 - Product Quality Issue,Product Quality,low,in_progress,Eve Davis,2025-04-29 02:00:00,,,72,True
30,Complaint #30 - Technical Issue,Technical,critical,open,Eve Davis,2025-01-27 04:00:00,,,8,True
31,Complaint #31 - Delivery Issue,Delivery,critical,escalated,Bob Smith,2024-05-15 16:00:00,,,8,True
32,Complaint #32 - Refund Issue,Refund,medium,escalated,Frank Miller,2024-12-19 06:00:00,,,48,True
33,Complaint #33 - Customer Service Issue,Customer Service,critical,pending,Frank Miller,2024-07-10 14:00:00,,,8,True
34,Complaint #34 - Installation Issue,Installation,low,in_progress,Bob Smith,2024-02-02 10:00:00,,,72,True
35,Complaint #35 - Billing Issue,Billing,medium,escalated,Bob Smith,2024-01-04 02:00:00,,,48,True
36,Complaint #36 - Billing Issue,Billing,medium,open,Alice Johnson,2025-03-16 10:00:00,,,48,True
37,Complaint #37 - Technical Issue,Technical,medium,resolved,Frank Miller,2024-09-05 06:00:00,2024-09-08 04:00:00,70,48,True
38,Complaint #38 - Delivery Issue,Delivery,critical,in_progress,David Brown,2025-02-17 13:00:00,,,8,True
39,Complaint #39 - Product Quality Issue,Product Quality,low,open,Frank Miller,2024-08-08 11:00:00,,,72,True
40,Complaint #40 - Refund Issue,Refund,critical,closed,Frank Miller,2024-01-28 21:00:00,2024-01-29 01:00:00,4,8,False
41,Complaint #41 - Billing Issue,Billing,critical,pending,Carol White,2025-02-13 03:00:00,,,8,True
42,Complaint #42 - Product Quality Issue,Product Quality,medium,in_progress,Eve Davis,2024-08-17 04:00:00,,,48,True
43,Complaint #43 - Refund Issue,Refund,medium,resolved,David Brown,2024-05-07 02:00:00,2024-05-09 11:00:00,57,48,True
44,Complaint #44 - Technical Issue,Technical,low,pending,Eve Davis,2025-03-04 00:00:00,,,72,True
45,Complaint #45 - Technical Issue,Technical,medium,in_progress,David Brown,2024-09-05 15:00:00,,,48,True
46,Complaint #46 - Product Quality Issue,Product Quality,critical,open,Bob Smith,2024-07-13 00:00:00,,,8,True
47,Complaint #47 - Refund Issue,Refund,high,closed,Carol White,2024-08-04 22:00:00,2024-08-06 21:00:00,47,24,True
48,Complaint #48 - Installation Issue,Installation,medium,in_progress,Carol White,2024-04-21 01:00:00,,,48,True
49,Complaint #49 - Billing Issue,Billing,high,open,Alice Johnson,2024-10-26 15:00:00,,,24,True
50,Complaint #50 - Delivery Issue,Delivery,low,escalated,Alice Johnson,2025-03-11 05:00:00,,,72,True
51,Complaint #51 - Technical Issue,Technical,low,pending,Bob Smith,2024-07-25 03:00:00,,,72,True
52,Complaint #52 - Product Quality Issue,Product Quality,low,escalated,Alice Johnson,2024-08-02 21:00:00,,,72,True
53,Complaint #53 - Account Issue,Account,high,in_progress,Frank Miller,2025-01-01 10:00:00,,,24,True
54,Complaint #54 - Product Quality Issue,Product Quality,high,closed,Bob Smith,2024-12-09 20:00:00,2024-12-10 16:00:00,20,24,False
55,Complaint #55 - Installation Issue,Installation,high,open,Alice Johnson,2024-08-22 19:00:00,,,24,True
56,Complaint #56 - Technical Issue,Technical,low,escalated,Bob Smith,2024-09-16 08:00:00,,,72,True
57,Complaint #57 - Delivery Issue,Delivery,high,open,Bob Smith,2024-07-08 09:00:00,,,24,True
58,Complaint #58 - Delivery Issue,Delivery,critical,escalated,Frank Miller,2024-06-03 19:00:00,,,8,True
59,Complaint #59 - Billing Issue,Billing,high,pending,Alice Johnson,2025-04-25 04:00:00,,,24,True
60,Complaint #60 - Customer Service Issue,Customer Service,low,open,Frank Miller,2024-10-10 04:00:00,,,72,True
61,Complaint #61 - Customer Service Issue,Customer Service,high,escalated,Bob Smith,2025-01-02 10:00:00,,,24,True
62,Complaint #62 - Product Quality Issue,Product Quality,high,escalated,David Brown,2024-05-08 01:00:00,,,24,True
63,Complaint #63 - Technical Issue,Technical,critical,resolved,Alice Johnson,2024-01-02 10:00:00,2024-01-02 15:00:00,5,8,False
64,Complaint #64 - Customer Service Issue,Customer Service,medium,pending,David Brown,2024-10-09 22:00:00,,,48,True
65,Complaint #65 - Refund Issue,Refund,low,open,Alice Johnson,2025-04-28 22:00:00,,,72,True
66,Complaint #66 - Delivery Issue,Delivery,low,resolved,Eve Davis,2024-10-09 04:00:00,2024-10-13 19:00:00,111,72,True
67,Complaint #67 - Delivery Issue,Delivery,low,resolved,Carol White,2025-04-05 01:00:00,2025-04-08 21:00:00,92,72,True
68,Complaint #68 - Product Quality Issue,Product Quality,medium,pending,Alice Johnson,2024-06-30 17:00:00,,,48,True
69,Complaint #69 - Refund Issue,Refund,medium,in_progress,Bob Smith,2025-05-14 05:00:00,,,48,True
70,Complaint #70 - Refund Issue,Refund,low,in_progress,Frank Miller,2025-04-18 10:00:00,,,72,True
71,Complaint #71 - Refund Issue,Refund,medium,resolved,Bob Smith,2025-02-07 22:00:00,2025-02-08 12:00:00,14,48,False
72,Complaint #72 - Refund Issue,Refund,low,closed,Bob Smith,2024-04-12 14:00:00,2024-04-16 08:00:00,90,72,True
73,Complaint #73 - Customer Service Issue,Customer Service,medium,in_progress,Alice Johnson,2024-12-03 06:00:00,,,48,True
74,Complaint #74 - Refund Issue,Refund,high,resolved,Alice Johnson,2025-05-10 08:00:00,2025-05-11 07:00:00,23,24,False
75,Complaint #75 - Refund Issue,Refund,high,open,Alice Johnson,2025-03-25 08:00:00,,,24,True
76,Complaint #76 - Delivery Issue,Delivery,high,open,Alice Johnson,2024-11-01 13:00:00,,,24,True
77,Complaint #77 - Account Issue,Account,high,closed,Eve Davis,2024-09-18 03:00:00,2024-09-19 04:00:00,25,24,True
78,Complaint #78 - Product Quality Issue,Product Quality,high,open,Frank Miller,2024-08-11 00:00:00,,,24,True
79,Complaint #79 - Product Quality Issue,Product Quality,high,closed,Alice Johnson,2025-04-30 21:00:00,2025-05-01 19:00:00,22,24,False
80,Complaint #80 - Account Issue,Account,low,pending,Carol White,2024-09-16 09:00:00,,,72,True
81,Complaint #81 - Refund Issue,Refund,high,closed,Frank Miller,2024-05-31 17:00:00,2024-06-01 02:00:00,9,24,False
82,Complaint #82 - Product Quality Issue,Product Quality,critical,pending,David Brown,2024-12-12 23:00:00,,,8,True
83,Complaint #83 - Delivery Issue,Delivery,high,closed,Eve Davis,2025-03-02 00:00:00,2025-03-02 20:00:00,20,24,False
84,Complaint #84 - Customer Service Issue,Customer Service,medium,closed,Eve Davis,2024-11-06 20:00:00,2024-11-08 14:00:00,42,48,False
85,Complaint #85 - Installation Issue,Installation,critical,closed,Frank Miller,2024-04-19 16:00:00,2024-04-20 08:00:00,16,8,True
86,Complaint #86 - Delivery Issue,Delivery,low,resolved,Eve Davis,2024-12-05 20:00:00,2024-12-09 10:00:00,86,72,True
87,Complaint #87 - Technical Issue,Technical,medium,pending,Carol White,2024-04-25 06:00:00,,,48,True
88,Complaint #88 - Delivery Issue,Delivery,low,open,Bob Smith,2024-08-31 19:00:00,,,72,True
89,Complaint #89 - Technical Issue,Technical,critical,closed,Frank Miller,2024-10-21 06:00:00,2024-10-21 19:00:00,13,8,True
90,Complaint #90 - Installation Issue,Installation,critical,in_progress,Bob Smith,2024-12-01 22:00:00,,,8,True
91,Complaint #91 - Billing Issue,Billing,low,closed,Bob Smith,2024-03-31 22:00:00,2024-04-06 11:00:00,133,72,True
92,Complaint #92 - Installation Issue,Installation,low,escalated,Bob Smith,2025-04-14 03:00:00,,,72,True
93,Complaint #93 - Installation Issue,Installation,medium,closed,Frank Miller,2024-09-28 17:00:00,2024-10-01 22:00:00,77,48,True
94,Complaint #94 - Account Issue,Account,critical,escalated,Frank Miller,2025-04-01 16:00:00,,,8,True
95,Complaint #95 - Refund Issue,Refund,critical,in_progress,Frank Miller,2025-03-17 15:00:00,,,8,True
96,Complaint #96 - Installation Issue,Installation,high,in_progress,Frank Miller,2024-05-21 16:00:00,,,24,True
